Fork_3,Think_5,Eat_4,Hungry_4,Think_4,Think_2,Hungry_5,time,Hungry_1,Hungry_3,Eat_3,Arbiter,Eat_1,Fork_1,Think_3,Hungry_2,Eat_5,Fork_5,Fork_2,Fork_4,Think_1,Eat_2
1,1,0,0,1,1,0,0.0,0,0,0,4,0,1,1,0,0,1,1,1,1,0
1,1,0,0,1,0,0,0.03334745609179392,0,0,0,3,0,1,1,1,0,1,0,1,1,0
1,1,0,0,1,0,0,0.041403239885679656,1,0,0,2,0,0,1,1,0,1,0,1,0,0
0,1,0,0,1,0,0,0.49345931529932224,1,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,0,0,1,0,0,0.7176423103347915,1,0,1,1,0,0,0,1,0,1,0,0,0,0
1,1,0,0,1,0,0,1.2328963034927698,1,0,0,2,0,0,1,1,0,1,0,1,0,0
1,1,0,1,0,0,0,1.3381389096864014,1,0,0,1,0,0,1,1,0,1,0,0,0,0
0,1,0,1,0,0,0,1.5111843281405815,1,1,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,0,0,0,0,1.960961117225518,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,2.552927255467836,1,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,0,0,1,0,0,2.704917713619202,1,0,1,1,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,3.8744684510101863,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,1,4.793453697098928,1,0,0,1,0,0,1,1,0,0,0,1,0,0
0,0,0,0,1,0,1,5.012755875800303,1,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,1,1,1,7.67612194313639,1,0,0,2,0,0,1,0,0,0,1,1,0,0
1,0,0,1,0,1,1,7.793232297885141,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,8.229574641076589,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,1,8.282041929356236,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,1,1,10.635553259932133,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,10.691694997639473,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,1,11.786537957539085,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,1,1,11.960190481292567,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,1,1,12.014198367128795,0,0,0,1,1,0,1,0,0,0,0,0,0,0
1,0,0,1,0,1,1,12.05035206408119,0,0,0,2,0,1,1,0,0,0,1,0,1,0
1,0,0,1,0,1,0,12.172164359298144,0,0,0,2,0,0,1,0,1,0,1,0,1,0
1,0,0,1,0,0,0,12.254328920203152,0,0,0,1,0,0,1,1,1,0,0,0,1,0
0,0,0,1,0,0,0,12.280003655685915,0,0,0,1,0,0,1,0,1,0,0,0,1,1
1,0,0,1,0,1,0,12.659493753152317,0,0,0,2,0,0,1,0,1,0,1,0,1,0
1,0,0,1,0,0,0,12.832631018397366,0,0,0,1,0,0,1,1,1,0,0,0,1,0
0,0,0,1,0,0,0,13.233292890536774,0,0,0,1,0,0,1,0,1,0,0,0,1,1
1,0,0,1,0,1,0,14.268079528810425,0,0,0,2,0,0,1,0,1,0,1,0,1,0
1,1,0,1,0,1,0,14.407644785887424,0,0,0,3,0,1,1,0,0,1,1,0,1,0
1,1,0,1,0,0,0,14.530188215229124,0,0,0,2,0,1,1,1,0,1,0,0,1,0
1,0,0,1,0,0,1,14.6704465655424,0,0,0,1,0,1,1,1,0,0,0,0,1,0
0,0,0,1,0,0,1,14.976535176370922,0,0,0,1,0,1,1,0,0,0,0,0,1,1
1,0,0,1,0,1,1,15.739165467954752,0,0,0,2,0,1,1,0,0,0,1,0,1,0
1,0,0,1,0,1,1,15.77010788248308,1,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,0,1,16.242418356690933,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,1,17.45499723439855,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,1,1,18.49083357351709,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,1,1,18.72723314859419,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,19.249046372958503,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,22.67957617006608,0,1,0,1,0,1,0,0,0,0,1,0,1,0
0,0,0,1,0,0,1,22.687732570067684,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,22.818854589669524,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,24.17423112910607,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,1,1,0,0,0,0,24.68026509003639,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,25.00478472957252,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,25.569672002237517,1,1,0,1,0,0,0,1,0,1,0,1,0,0
0,0,0,0,1,0,1,25.88194335254314,1,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,1,26.371947377259193,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,1,26.502218133243336,1,0,0,1,0,0,1,1,0,0,0,1,0,0
0,0,0,0,1,0,1,26.523869784574757,1,1,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,1,27.638115532719688,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,1,31.31199788128114,1,0,0,1,0,0,1,1,0,0,0,1,0,0
1,0,0,1,0,0,1,31.707329329386116,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,1,31.798820053006178,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,1,0,1,1,33.84830149183643,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,0,1,1,34.120856346110486,1,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,1,1,34.304737890975304,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,36.883815797056926,0,1,0,1,0,1,0,0,0,0,1,0,1,0
0,0,0,1,0,0,1,37.0855398010514,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,37.283197420688424,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,38.544957321604386,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,0,0,1,0,0,1,39.01527813422643,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,39.598197935420266,0,1,0,0,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,42.0887117220838,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,1,1,0,0,0,0,42.45658842130238,0,1,0,1,0,1,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,43.61725892765954,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,46.68985803877862,1,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,0,1,0,0,0,46.97174773696547,1,1,0,0,0,0,0,1,0,1,0,0,0,0
0,1,1,0,0,0,0,47.09099416443504,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,48.316238431694615,1,1,0,1,0,0,0,1,0,1,0,1,0,0
0,1,0,0,1,0,0,48.517830126900286,1,0,1,1,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,1,49.207162456709405,1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,1,50.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
